"bird_sp","bird_num","f_key","p_key"
g_aigrette,1,uuid:b9a03534-ada5-425d-9d7a-1fefa3c66eec,uuid:b9a03534-ada5-425d-9d7a-1fefa3c66eec/intro_bird/bird_ipa[2]
h_cendre,80,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[1]
g_aigrette,121,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[2]
g_casta,13,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[3]
cormo,7,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[4]
m_rieuse,67,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[5]
g_huppe,11,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[6]
c_tuber,11,uuid:077d8b48-c101-433a-a116-6c51c3dae964,uuid:077d8b48-c101-433a-a116-6c51c3dae964/intro_bird/bird_ipa[7]
h_cendre,1,uuid:18eccb0f-4d2b-4b48-9034-a49a3f3de24c,uuid:18eccb0f-4d2b-4b48-9034-a49a3f3de24c/intro_bird/bird_ipa[1]
c_tuber,94,uuid:18eccb0f-4d2b-4b48-9034-a49a3f3de24c,uuid:18eccb0f-4d2b-4b48-9034-a49a3f3de24c/intro_bird/bird_ipa[2]
g_aigrette,1,uuid:f140c5c0-1c77-44c1-8902-e57d32abee24,uuid:f140c5c0-1c77-44c1-8902-e57d32abee24/intro_bird/bird_ipa[1]
c_tuber,4,uuid:f140c5c0-1c77-44c1-8902-e57d32abee24,uuid:f140c5c0-1c77-44c1-8902-e57d32abee24/intro_bird/bird_ipa[2]
g_aigrette,2,uuid:02044d2f-8477-4ab1-8712-44d9bc2eedc6,uuid:02044d2f-8477-4ab1-8712-44d9bc2eedc6/intro_bird/bird_ipa[1]
h_cendre,3,uuid:02044d2f-8477-4ab1-8712-44d9bc2eedc6,uuid:02044d2f-8477-4ab1-8712-44d9bc2eedc6/intro_bird/bird_ipa[2]
h_cendre,4,uuid:f33b087f-d1c4-4723-8504-1508200114ed,uuid:f33b087f-d1c4-4723-8504-1508200114ed/intro_bird/bird_ipa[1]
